Status,Authors,Title,Year
ACCEPTED,Kurz M.S.,Distributed double machine learning with a serverless architecture,2021
ACCEPTED,"Wang H., Niu D., Li B.",Distributed Machine Learning with a Serverless Architecture,2019
ACCEPTED,"Thorpe J., Qiao Y., Eyolfson J., Teng S., Hu G., Jia Z., Wei J., Vora K., Netravali R., Kim M., Xu G.H.","Dorylus: Affordable, scalable, and accurate GNN training with distributed CPU servers and serverless threads",2021
ACCEPTED,"Zhang M., Krintz C., Wolski R.",Edge-adaptable serverless acceleration for machine learning Internet of Things applications,2021
REJECTED,"Satzke K., Akkus I.E., Chen R., Rimac I., Stein M., Beck A., Aditya P., Vanga M., Hilt V.",Efficient GPU Sharing for Serverless Workflows,2021
ACCEPTED,"Zhang C., Yu M., wang W., Yan F.","Enabling Cost-Effective, SLO-Aware Machine Learning Inference Serving on Public Cloud",2020
ACCEPTED,"Baughman M., Foster I., Chard K.",Enhancing automated FaaS with cost-aware provisioning of cloud resources,2021
REJECTED,Mendki P.,Evaluating webassembly enabled serverless approach for edge computing,2020
REJECTED,"Larcher L., Stroele V., Dantas M., Bauer M.",Event-driven framework for detecting unusual patterns in AAL environments,2020
ACCEPTED,"Feng L., Kudva P., Da Silva D., Hu J.",Exploring Serverless Computing for Neural Network Training,2018
ACCEPTED,"Shillaker S., Pietzuch P.",FAASM: Lightweight isolation for efficient stateful serverless computing,2020
REJECTED,"Yu H., Irissappane A.A., Wang H., Lloyd W.J.",FaaSRank: Learning to Schedule Functions in Serverless Platforms,2021
ACCEPTED,"Horovitz S., Amos R., Baruch O., Cohen T., Oyar T., Deri A.",FaaStest - Machine learning based cost and performance FaaS optimization,2019
REJECTED,"Savazzi S., Nicoli M., Rampa V.",Federated Learning with Cooperating Devices: A Consensus Approach for Massive IoT Networks,2020
REJECTED,"Savazzi S., Nicoli M., Rampa V., Kianoush S.",Federated Learning with Mutually Cooperating Devices: A Consensus Approach Towards Server-Less Model Optimization,2020
ACCEPTED,"Grafberger A., Chadha M., Jindal A., Gu J., Gerndt M.",FedLess: Secure and Scalable Federated Learning Using Serverless Computing,2021
REJECTED,"Bhagavan S., Gharibi M., Rao P.",FedSmarteum: Secure Federated Matrix Factorization Using Smart Contracts for Multi-Cloud Supply Chain,2021
ACCEPTED,"Yu M., Jiang Z., Ng H.C., Wang W., Chen R., Li B.",Gillis: Serving large neural networks in serverless functions with automatic model partitioning,2021
REJECTED,"Yadav P., Salwala D., Sudharsan B., Curry E.",GNOSIS-query-driven multimodal event processing for unstructured data streams,2021
REJECTED,"Kim J., Jun T.J., Kang D., Kim D., Kim D.",GPU Enabled Serverless Computing Framework,2018
ACCEPTED,"Kim C.-Y., Cha G.-I.",GPU usage estimation of deep learning training function for serverless computing,2018
ACCEPTED,"Chahal D., Ramesh M., Ojha R., Singhal R.",High performance serverless architecture for deep learning workflows,2021
REJECTED,"Luthra M., Hennig S., Agnihotri P., Wang L., Koldehofe B.",Highly flexible server agnostic complex event processing operators,2019
REJECTED,"Golec M., Ozturac R., Pooranian Z., Gill S.S., Buyya R.",IFaaSBus: A Security- and Privacy-Based Lightweight Framework for Serverless Computing Using IoT and Machine Learning,2022
REJECTED,"Sunny B.K., Janardhanan P.S., Francis A.B., Murali R.",Implementation of a self-adaptive real time recommendation system using spark machine learning libraries,2017
ACCEPTED,Deese A.,Implementation of unsupervised k-means clustering algorithm within amazon web services lambda,2018
ACCEPTED,"Gunasekaran J.R., Mishra C.S., Thinakaran P., Kandemir M.T., Das C.R.",Implications of Public Cloud Resource Heterogeneity for Inference Serving,2020
REJECTED,"Khandelwal A., Kejariwal A., Ramasamy K.",Le Taureau: Deconstructing the Serverless Landscape & A Look Forward,2020
ACCEPTED,"Paraskevoulakou E., Kyriazis D.",Leveraging the serverless paradigm for realizing machine learning pipelines across the edge-cloud continuum,2021
REJECTED,"Pal G., Hong X., Wang Z., Wu H., Li G., Atkinson K.",Lifelong Machine Learning and root cause analysis for large-scale cancer patient data,2019
REJECTED,"Kaur R., Schaye C., Thompson K., Yee D.C., Zilz R., Sreenivas R.S., Sowers R.B.",Machine learning and price-based load scheduling for an optimal IoT control in the smart and frugal home,2021
REJECTED,"Dastner K., Von Hasler Zu Roseneckh-Kohler B., Opitz F., Rottmaier M., Schmid E.",Machine learning techniques for enhancing maritime surveillance based on GMTI radar and AIS,2018
ACCEPTED,"Zhang C., Yu M., Wang W., Yan F.","Mark: Exploiting cloud services for cost-effective, slo-aware machine learning inference serving",2019
